Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
0,6450,0,0,519,3547,244254,1,26,912,2,82,0,128
0,7163,0,4,540,3094,245187,0,1,125,0,0,0,129
0,6978,0,8,723,3363,244750,0,13,365,0,7,0,130
0,6823,0,4,493,3654,244553,0,9,776,0,15,0,193
0,6033,0,2,654,3459,243674,0,21,1250,0,136,1,132
1,6241,0,2,487,3597,243929,3,4,1118,0,157,0,184
1,6464,0,3,562,3627,244234,0,16,1021,0,17,0,131
0,6388,0,1,728,3121,244242,2,17,801,1,39,0,202
0,6579,0,0,832,3188,244415,1,9,555,1,28,0,135
0,7242,0,4,483,3767,244858,0,2,507,0,2,0,136
0,6752,0,1,581,3503,244416,2,5,826,1,13,0,137
1,6735,0,1,618,2826,244567,0,7,596,0,35,0,133
0,6355,0,3,690,2875,244421,0,9,713,0,14,0,134
2,6402,0,3,543,3347,243818,1,13,1388,0,50,0,145
0,6987,0,2,488,3638,244687,1,13,567,1,54,0,163
1,6190,0,2,636,3454,243918,3,3,1074,0,110,0,138
1,5791,0,2,587,3187,243689,2,10,1545,0,14,0,139
0,7511,0,2,665,3564,245187,0,0,0,0,0,0,142
1,6243,0,2,641,2781,244027,2,3,1075,0,53,0,150
1,6077,0,0,600,3205,243586,2,14,1489,0,87,0,144
0,6640,0,0,688,3381,244501,0,3,555,0,54,0,148
0,6440,0,2,562,3319,244254,0,13,988,0,24,0,151
0,6938,0,0,629,3228,244624,0,8,595,0,2,0,141
0,6456,0,1,583,3215,244257,0,14,887,3,61,0,153
1,6909,0,1,677,3292,244604,3,11,532,1,17,0,149
0,6317,0,2,536,3346,244113,2,14,1147,0,27,0,162
3,5073,0,1,498,2928,243309,1,11,1664,1,188,0,167
0,6687,0,1,534,3681,244315,0,9,979,0,11,1,140
0,7347,0,4,640,3548,245034,0,28,175,1,1,0,171
0,6910,0,2,563,3556,244774,1,3,514,0,0,0,147
1,6558,0,4,534,3665,244170,1,10,1024,0,61,0,172
1,6309,0,1,661,3380,244095,0,25,874,3,109,0,157
0,7212,0,4,673,3141,244978,1,11,195,3,1,0,165
0,6724,0,2,601,3345,244380,3,10,726,0,71,0,178
2,5891,0,3,595,3542,243528,3,28,1518,0,103,0,214
0,6235,0,2,907,2919,244288,0,13,646,3,4,0,155
0,7343,0,10,867,3387,244985,0,0,0,0,0,0,166
0,6320,0,4,748,3348,244013,0,6,1027,0,32,0,146
0,7030,0,1,679,3071,244777,0,8,391,1,2,0,143
0,6780,0,0,597,3548,244587,1,16,624,1,21,0,169
0,7664,0,2,601,3656,245251,0,0,0,0,0,0,164
0,7579,0,1,543,3703,245162,0,4,144,1,1,0,152
0,7402,0,1,680,3503,245037,1,11,133,1,0,0,161
1,5589,0,2,667,2835,243784,3,4,1249,0,74,0,181
0,7309,0,2,631,3372,244644,0,11,563,0,7,0,177
1,6116,0,0,707,3281,243968,3,13,1134,0,20,0,156
1,6327,0,1,511,3703,243946,2,14,1298,2,46,0,230
1,6078,0,5,668,3445,243864,1,3,1148,0,85,0,179
0,6446,0,3,575,3637,244195,0,8,1029,1,26,0,188
0,6795,0,5,667,3077,244661,1,10,519,0,2,0,168
0,6083,0,2,477,3411,243954,2,7,1211,0,103,1,175
0,6762,0,5,673,3383,244566,1,12,563,1,24,0,185
0,6275,0,4,562,3163,244454,2,7,813,1,10,0,173
2,5853,0,0,709,3442,243522,3,23,1566,4,23,0,200
1,6299,0,1,640,3305,244112,1,31,1024,2,35,1,160
1,6320,0,0,626,3360,244049,5,8,1073,0,50,0,174
2,5830,0,2,954,2789,243332,5,6,1370,1,94,0,158
1,6029,0,2,554,3454,243605,1,22,1518,1,85,1,190
2,5612,0,1,557,2973,243435,2,8,1696,0,80,0,170
0,7293,0,3,440,3628,244812,1,14,548,1,25,0,197
0,6454,0,0,583,3451,244275,0,10,882,0,56,0,182
0,6501,0,2,758,3381,244059,2,20,887,2,72,0,187
1,6201,0,1,657,2710,243452,2,16,1539,1,100,0,154
0,6496,0,3,569,3385,244265,0,8,997,1,10,0,176
1,6344,0,3,662,3536,243990,0,4,1092,0,54,0,194
0,6347,0,4,868,3319,244030,1,15,852,1,49,1,205
3,6612,0,4,485,3615,244228,2,19,1058,0,38,0,191
0,6664,0,5,724,2875,244560,0,5,496,0,36,0,198
1,6332,0,6,548,2868,244318,3,10,914,0,34,0,159
1,6257,0,3,569,3497,244028,1,8,1151,2,50,0,192
0,7215,0,4,818,3323,244943,0,12,89,0,1,0,203
0,7083,0,2,599,3631,244706,0,14,543,0,2,0,199
0,6832,0,3,581,3604,244533,2,23,633,1,51,0,189
0,6520,0,2,544,3479,244334,1,6,741,0,116,0,206
0,6654,0,2,501,3578,244362,2,15,900,1,42,1,215
0,6951,0,3,532,3485,244780,1,2,515,0,12,0,210
3,5803,0,4,490,3597,243650,2,17,1645,0,31,0,213
0,5650,0,0,499,3138,243470,3,13,1627,1,124,2,209
0,7152,0,2,729,3324,244903,1,22,217,2,0,0,219
0,7136,0,1,690,3035,244699,0,3,393,0,35,0,183
0,6964,0,1,477,3648,244558,2,4,673,0,71,0,204
0,6653,0,3,612,3472,244441,0,15,769,0,15,0,220
0,6616,0,5,613,3438,244242,1,13,794,0,101,0,195
1,5902,0,1,509,3390,243989,1,10,1142,0,105,0,228
0,6851,0,3,532,3475,244510,1,4,697,0,59,0,207
1,6708,0,1,799,3090,244451,1,8,573,3,12,0,208
1,6553,0,5,484,3713,244216,0,11,1112,1,19,0,201
0,6811,0,2,543,3446,244677,0,1,569,1,31,0,226
3,5345,0,2,597,3396,243290,1,12,1738,1,111,0,223
0,6894,0,2,690,2810,244771,1,7,371,1,9,0,180
0,6775,0,1,628,3590,244452,0,16,729,1,21,0,247
0,6867,0,3,580,3471,244664,0,6,590,0,9,0,212
1,6469,0,4,734,3375,244101,5,18,911,0,50,0,218
0,6122,0,3,644,3010,244721,3,5,475,1,4,0,196
0,6809,0,7,746,3395,244504,2,12,527,1,36,0,227
0,6854,0,4,592,3560,244520,2,4,714,0,41,0,237
0,6559,0,3,661,2884,244451,3,8,713,0,12,0,236
0,6369,0,1,560,3185,244490,0,2,611,1,95,0,229
0,7292,0,0,863,3103,244989,0,0,0,0,0,0,246
2,5990,0,2,486,3504,243604,3,22,1575,0,91,0,240
0,7364,0,3,586,3521,245059,0,0,207,0,0,0,224
1,6560,0,4,604,3400,244181,3,7,1037,0,13,0,238
1,6049,0,3,586,3002,243656,2,20,1559,1,37,0,211
0,6960,0,5,521,3669,244634,0,14,605,0,46,0,242
0,6473,0,5,645,3499,244329,1,8,829,2,23,0,244
2,5599,0,1,751,2805,243261,3,16,1781,2,26,0,217
0,7441,0,2,695,3503,245157,0,0,0,0,0,0,233
1,6337,0,6,439,3435,243996,2,11,1318,0,48,0,239
0,6647,0,3,562,2886,244762,0,6,514,0,7,0,232
1,6406,0,2,457,3583,244220,0,17,1162,0,6,0,249
0,6550,0,3,682,3274,244218,2,10,881,1,34,0,248
0,7468,0,1,694,3475,245158,0,0,0,0,0,0,245
2,6247,0,0,568,3313,244116,3,15,1101,0,31,0,225
0,7493,0,0,524,3516,244794,0,11,490,0,22,0,250
1,6916,0,2,724,2846,244891,0,13,246,0,1,0,235
1,5819,0,0,633,2856,243574,1,12,1592,1,25,0,234
0,5259,0,0,587,2864,244235,0,5,948,0,41,0,222
0,6789,0,5,803,3351,244514,2,8,527,0,3,0,241
0,7203,0,3,659,2901,245086,1,10,104,2,0,0,231
0,5978,0,0,760,2787,244582,0,8,436,2,36,0,216
0,6237,0,3,475,3513,243991,3,15,1290,1,45,1,252
1,6536,0,4,575,2915,244455,2,22,796,1,11,0,221
1,6558,0,3,652,3029,244480,2,10,658,1,29,0,251
0,6663,0,2,690,2908,244778,0,6,380,0,2,0,253
0,6576,0,1,589,2783,244382,1,10,734,0,73,0,186
0,7487,0,5,785,3448,245067,0,0,0,0,0,0,254
0,6693,0,0,690,3446,244445,0,7,693,0,12,0,255
1,6246,0,3,596,3419,244000,0,8,1111,0,74,0,256
0,6672,0,3,555,3581,244384,0,10,802,1,55,0,257
1,6148,0,2,542,3464,243921,1,12,1186,1,100,0,258
1,6074,0,7,607,3365,243598,2,14,1409,1,117,0,260
0,6998,0,1,661,3480,244641,1,17,540,1,4,0,259
0,6637,0,4,612,3518,244375,1,8,799,1,32,0,261
2,5745,0,0,384,3485,243553,2,21,1757,2,76,0,262
2,6307,0,1,514,3553,244046,1,24,1246,1,21,0,361
0,6478,0,5,659,3443,244314,0,14,814,3,31,0,266
0,6781,0,5,694,2952,245027,0,9,128,1,1,0,263
0,6684,0,3,695,2932,244433,4,13,629,2,46,0,265
0,7551,0,1,521,3686,245177,1,10,144,1,4,0,264
1,6231,0,3,549,3587,243854,2,28,1301,1,72,0,291
0,6905,0,4,659,3523,244647,0,22,513,3,15,0,339
0,6846,0,3,569,3550,244589,0,8,592,0,51,0,271
0,6102,0,2,646,3248,243948,1,9,1031,0,112,1,274
0,6944,0,5,574,3299,245278,0,0,0,0,0,0,273
0,7020,0,5,893,3296,244766,1,4,138,0,27,0,292
2,5344,0,3,486,2858,243483,0,2,1629,0,125,1,268
0,7381,0,2,627,3443,245225,0,0,0,0,0,0,275
3,5068,0,0,634,3001,243066,2,11,2036,1,54,1,278
0,7016,0,3,841,2762,244932,0,9,78,1,0,0,270
0,5872,0,2,534,3333,244020,1,4,1165,0,65,1,272
4,5040,0,0,529,3087,243142,2,9,2065,0,55,0,288
0,6698,0,2,590,2840,244399,1,15,700,0,81,0,277
0,7375,0,4,852,2970,244791,1,9,206,0,1,0,269
0,6782,0,2,618,3476,244386,0,13,518,0,165,0,295
0,6832,0,1,554,3569,244539,0,6,653,0,53,0,289
0,5946,0,1,665,2814,244673,3,5,487,0,12,0,267
0,6962,0,1,590,3563,244657,0,20,592,1,6,0,296
0,7370,0,5,496,3547,245137,0,2,217,0,1,0,290
0,6806,0,0,613,3282,244372,1,9,836,0,15,0,284
0,7029,0,2,633,3313,244393,2,11,767,1,28,0,298
0,6540,0,4,821,2958,244487,1,2,517,0,13,0,282
0,6697,0,6,659,3502,244425,0,7,730,0,19,0,279
0,7355,0,4,715,3301,245265,0,0,0,0,0,0,283
0,6676,0,2,491,3141,244667,1,11,663,0,15,0,276
0,6458,0,5,623,3010,244548,2,8,645,0,17,0,287
1,6834,0,5,671,3465,244672,2,14,491,1,7,0,300
1,6087,0,4,535,3665,243769,2,17,1473,0,36,0,294
0,7578,0,6,600,3376,245252,0,0,0,0,0,0,285
0,6428,0,4,643,3345,244324,3,16,874,0,4,0,281
0,6417,0,1,584,3054,244088,1,7,1107,0,35,1,280
0,7084,0,2,741,3202,244720,0,17,371,4,8,0,293
0,6770,0,3,676,3440,244605,1,13,562,0,4,0,308
1,6262,0,3,594,3045,244232,1,8,1020,0,13,0,286
3,6173,0,1,553,3505,243837,1,25,1270,2,93,0,310
1,6054,0,3,446,3273,243861,0,7,1274,0,135,0,309
0,6972,0,6,519,3628,244699,2,20,608,0,11,1,313
1,5689,0,7,649,3147,243729,1,18,1335,1,68,0,299
0,7081,0,4,718,2893,245065,0,2,69,0,0,0,302
0,6940,0,4,731,3371,244605,1,1,514,1,0,0,303
0,6661,0,2,774,2866,244682,0,9,337,1,29,0,301
1,6234,0,3,632,3217,244017,1,17,1152,1,24,0,319
1,6661,0,1,685,3554,244276,2,11,845,1,21,0,325
0,6254,0,1,788,3269,244070,1,18,976,5,6,0,331
0,7062,0,5,696,3278,244976,0,3,170,0,5,0,306
1,5974,0,2,603,3246,243758,2,19,1441,1,23,0,297
0,7103,0,2,528,3622,244827,0,15,429,0,34,0,335
0,6925,0,7,673,3299,244847,1,6,330,1,2,0,304
