assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.2012,-0.0695,-0.0687,-0.0234,0.0233,0.0433,4.8111,4.452,3.8702,0.0011962,12,11,4840,2012,142
-0.1101,-0.045,-0.0528,-0.0113,0.0246,0.0459,4.8091,4.523,3.8814,0.0011957,12,11,4838,2012,130
-0.0049,-0.0127,0.0112,-0.0036,0.0276,0.0516,4.825,4.4432,3.9971,0.0011997,12,11,4854,2012,162
-0.1851,-0.0624,-0.1499,-0.0535,0.0261,0.0503,4.8131,4.4759,3.8106,0.0011967,13,11,4842,2012,151
-0.0309,-0.0006,-0.0167,0.0084,0.034,0.0599,4.8221,4.6028,3.991,0.0011989,14,12,4851,2012,129
-0.0657,-0.0244,-0.1111,-0.0402,0.0251,0.0479,4.8161,4.8279,3.8773,0.0011974,15,12,4845,2012,135
-0.066,-0.024,-0.1534,-0.0432,0.0263,0.0506,4.8151,4.6389,3.8883,0.0011972,12,11,4844,2012,159
-0.1007,-0.0471,-0.1511,-0.0494,0.0221,0.0431,4.8171,4.43,3.9851,0.0011977,12,11,4846,2012,161
-0.132,-0.045,-0.118,-0.0353,0.0251,0.0461,4.8171,4.3483,3.993,0.0011977,12,13,4846,2012,163
-0.127,-0.0421,-0.1989,-0.0704,0.0265,0.05,4.8201,4.5216,3.8678,0.0011984,14,12,4849,2012,172
-0.0422,-0.023,-0.0757,-0.0369,0.0267,0.0519,4.8201,4.449,3.9934,0.0011984,13,12,4849,2012,169
-0.0402,-0.0245,-0.0544,-0.0168,0.0287,0.0518,4.8191,4.4093,3.9828,0.0011982,13,13,4848,2012,132
-0.1709,-0.0634,-0.1648,-0.0746,0.0228,0.045,4.8111,4.5325,3.8278,0.0011962,12,11,4840,2012,171
-0.0341,-0.0091,-0.0079,-0.0052,0.0277,0.0512,4.8151,4.7806,3.9724,0.0011972,14,12,4844,2012,131
-0.0648,-0.0109,-0.0567,-0.0264,0.0293,0.0543,4.8151,4.4559,3.9089,0.0011972,12,11,4844,2012,237
-0.0872,-0.0426,-0.0821,-0.0185,0.0247,0.0481,4.8101,4.3252,3.9716,0.001196,13,11,4839,2012,143
-0.019,-0.0004,-0.0413,-0.0046,0.0312,0.0562,4.828,4.5831,4.063,0.0012004,13,11,4857,2012,146
-0.1576,-0.0554,-0.0866,-0.0277,0.0206,0.0405,4.8141,4.3704,3.8937,0.0011969,11,11,4843,2012,181
0.0331,-0.0009,-0.0231,-0.0113,0.024,0.0461,4.8151,4.6102,3.9362,0.0011972,14,11,4844,2012,166
-0.137,-0.0503,-0.0961,-0.0332,0.0184,0.0364,4.8151,4.6595,3.8874,0.0011972,14,11,4844,2012,128
-0.1126,-0.0429,-0.1674,-0.0557,0.0209,0.0401,4.8111,4.4954,3.853,0.0011962,12,10,4840,2012,182
-0.1196,-0.0424,-0.1274,-0.0496,0.0233,0.0456,4.8161,4.4516,3.9365,0.0011974,12,10,4845,2012,148
0.0163,-0.008,0.0585,-0.0064,0.0246,0.0474,4.8101,4.8411,3.9361,0.001196,14,10,4839,2012,150
-0.184,-0.0609,-0.1309,-0.047,0.0189,0.0368,4.8191,4.3871,3.9172,0.0011982,12,12,4848,2012,160
