assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.0508,-0.0043,0.0451,0.0037,0.6292,0.8443,16.4185,1.689,2.0982,0.0008761,4,4,76929,9371,76
-0.0971,-0.0054,-0.0368,-0.0038,0.6407,0.8493,16.4185,1.7404,2.0823,0.0008761,4,4,76929,9371,66
-0.0718,-0.0046,-0.0176,-0.002,0.6128,0.8177,16.4185,1.7123,2.0906,0.0008761,3,4,76929,9371,123
-0.0636,-0.0062,-0.1056,-0.0047,0.6031,0.8303,16.4185,1.7212,2.1051,0.0008761,4,4,76929,9371,104
-0.0809,-0.0068,0.1084,0.0039,0.6246,0.8402,16.4185,1.7136,2.0822,0.0008761,4,4,76929,9371,96
-0.1263,-0.0036,0.0469,0.0051,0.6464,0.8383,16.4185,1.7115,2.0703,0.0008761,4,4,76929,9371,13
-0.1267,-0.0069,-0.009,-0.0001,0.6266,0.8546,16.4185,1.7146,2.0892,0.0008761,4,4,76929,9371,106
-0.1674,-0.0076,0.0544,0.0047,0.675,0.8655,16.4185,1.7147,2.07,0.0008761,4,4,76929,9371,3
-0.1283,-0.004,-0.0108,-0.0003,0.6264,0.8538,16.4185,1.7125,2.0624,0.0008761,4,4,76929,9371,47
-0.1124,0.0,-0.0336,-0.0047,0.6055,0.8514,16.4185,1.7413,2.0767,0.0008761,4,4,76929,9371,44
-0.131,-0.0058,-0.0041,-0.0018,0.6351,0.8229,16.4185,1.7264,2.0916,0.0008761,4,4,76929,9371,124
-0.1632,-0.0047,-0.0536,-0.003,0.627,0.8344,16.4185,1.6778,2.057,0.0008761,4,4,76929,9371,110
-0.1368,-0.0064,-0.0536,0.0004,0.5929,0.8415,16.4185,1.7052,2.0588,0.0008761,4,4,76929,9371,84
-0.1635,-0.0053,0.0327,-0.0003,0.6157,0.8462,16.4185,1.7495,2.0692,0.0008761,4,4,76929,9371,118
-0.1758,-0.0089,-0.0664,-0.0026,0.6059,0.8329,16.4185,1.7058,2.0606,0.0008761,4,4,76929,9371,20
0.0103,0.0018,-0.013,0.0,0.6427,0.8606,16.4185,1.7548,2.1035,0.0008761,4,4,76929,9371,7
-0.0483,-0.0001,-0.0542,0.0014,0.6159,0.8385,16.4185,1.7372,2.0874,0.0008761,4,4,76929,9371,83
-0.0823,-0.0067,-0.027,0.0001,0.6179,0.8429,16.4185,1.7091,2.0773,0.0008761,4,4,76929,9371,80
-0.0827,-0.003,-0.0016,-0.0031,0.5944,0.8245,16.4185,1.7653,2.0746,0.0008761,4,4,76929,9371,17
-0.0534,-0.0043,0.0289,-0.001,0.6135,0.8321,16.4185,1.6993,2.105,0.0008761,4,4,76929,9371,32
-0.0179,-0.0038,-0.0172,-0.0019,0.6062,0.8139,16.4185,1.6964,2.1139,0.0008761,4,4,76929,9371,53
-0.0993,-0.0034,-0.1025,-0.0044,0.6154,0.8366,16.4185,1.723,2.0734,0.0008761,4,4,76929,9371,45
-0.0226,-0.0025,-0.0277,-0.0003,0.6044,0.8201,16.4185,1.7018,2.0992,0.0008761,4,4,76929,9371,23
-0.0941,-0.0043,0.0133,0.0035,0.6157,0.8595,16.4185,1.7204,2.068,0.0008761,4,4,76929,9371,30
-0.0808,-0.0065,-0.0997,-0.0063,0.6051,0.8596,16.4185,1.7279,2.0768,0.0008761,5,4,76929,9371,116
-0.0879,-0.0014,-0.0509,0.0,0.6526,0.849,16.4185,1.7373,2.0906,0.0008761,4,4,76929,9371,35
-0.0569,0.0008,0.044,-0.0032,0.6073,0.8227,16.4185,1.7403,2.0822,0.0008761,4,4,76929,9371,82
-0.1783,-0.0085,-0.0709,-0.0033,0.6178,0.8066,16.4185,1.7242,2.0766,0.0008761,4,4,76929,9371,67
-0.0775,-0.0046,-0.1282,-0.0097,0.5925,0.8445,16.4185,1.7258,2.0784,0.0008761,4,4,76929,9371,92
-0.1245,-0.0059,0.0452,0.0037,0.6128,0.8416,16.4185,1.7309,2.0952,0.0008761,4,4,76929,9371,90
0.0158,-0.0001,0.0075,0.0009,0.6364,0.843,16.4185,1.7184,2.086,0.0008761,3,4,76929,9371,31
-0.0354,-0.002,-0.0661,-0.0008,0.6325,0.8496,16.4185,1.6818,2.0878,0.0008761,3,4,76929,9371,95
-0.0438,-0.0022,0.0349,0.0047,0.6031,0.8241,16.4185,1.7434,2.0848,0.0008761,4,4,76929,9371,107
-0.0036,0.0021,0.0342,0.0016,0.5972,0.8291,16.4185,1.7315,2.0781,0.0008761,4,4,76929,9371,40
-0.0251,-0.0022,0.0728,0.0039,0.598,0.8157,16.4185,1.7271,2.0823,0.0008761,4,4,76929,9371,113
-0.0861,-0.0037,-0.0438,0.0017,0.6386,0.8578,16.4185,1.6931,2.0667,0.0008761,4,4,76929,9371,119
-0.1072,-0.0028,0.0094,0.001,0.6066,0.8587,16.4185,1.6958,2.0616,0.0008761,4,4,76929,9371,121
-0.1456,-0.0061,0.1081,0.0031,0.6171,0.7999,16.4185,1.7167,2.0901,0.0008761,4,4,76929,9371,132
-0.1572,-0.0063,0.0404,-0.0011,0.6021,0.8287,16.4185,1.7067,2.0983,0.0008761,4,4,76929,9371,128
-0.1961,-0.0135,-0.0599,-0.0007,0.6461,0.8222,16.4185,1.7216,2.1142,0.0008761,4,4,76929,9371,129
-0.1475,-0.0081,-0.1411,-0.0083,0.654,0.8544,16.4185,1.7408,2.0943,0.0008761,4,4,76929,9371,130
-0.1151,-0.0107,-0.0486,-0.0109,0.645,0.8594,16.4185,1.7098,2.0968,0.0008761,3,4,76929,9371,145
-0.1222,-0.0032,0.0052,0.0016,0.6398,0.866,16.4185,1.7635,2.0782,0.0008761,4,4,76929,9371,136
-0.0695,-0.0063,0.029,-0.001,0.59,0.8432,16.4185,1.7133,2.1037,0.0008761,4,4,76929,9371,131
-0.0187,-0.0,-0.0125,-0.0035,0.5932,0.8128,16.4185,1.7116,2.102,0.0008761,4,4,76929,9371,127
-0.1098,-0.009,-0.1221,-0.0069,0.6371,0.8415,16.4185,1.6987,2.0993,0.0008761,3,4,76929,9371,199
-0.2399,-0.0102,-0.0174,0.0003,0.601,0.8189,16.4185,1.7148,2.0525,0.0008761,4,4,76929,9371,138
-0.1318,-0.0077,-0.0415,-0.0,0.597,0.8451,16.4185,1.7309,2.0933,0.0008761,4,4,76929,9371,137
-0.0566,-0.0056,-0.0894,-0.0085,0.6412,0.8609,16.4185,1.7116,2.0866,0.0008761,4,4,76929,9371,133
-0.0256,-0.0045,-0.0473,-0.0031,0.6157,0.8205,16.4185,1.6916,2.1028,0.0008761,4,4,76929,9371,150
-0.16,-0.0083,-0.0741,-0.0056,0.6315,0.8338,16.4185,1.7323,2.0926,0.0008761,4,4,76929,9371,140
-0.0477,-0.0,-0.0118,-0.0021,0.6063,0.8252,16.4185,1.7471,2.1028,0.0008761,4,4,76929,9371,139
-0.206,-0.0095,-0.027,-0.002,0.6308,0.838,16.4185,1.7114,2.0614,0.0008761,3,4,76929,9371,186
-0.1637,-0.0112,-0.0266,-0.0004,0.632,0.8464,16.4185,1.7545,2.0875,0.0008761,4,4,76929,9371,173
-0.2013,-0.0066,0.1485,0.0045,0.6267,0.8718,16.4185,1.7684,2.0687,0.0008761,4,4,76929,9371,146
-0.3061,-0.0145,-0.119,-0.0109,0.6424,0.855,16.4185,1.723,2.0795,0.0008761,4,4,76929,9371,191
